DateOccured,MonthReportedtoMSHP,Count,Crime,District,Neighborhood,XCoord,YCoord,TMAX  ,TMIN  
2012-08-03,2012-09,1,266999,4,61,906919.5,1022348.0,361.0,228.0
2012-08-03,2012-09,1,266999,4,60,904639.2,1024058.0,361.0,228.0
2012-08-03,2012-09,1,67601,9,38,889330.6,1021002.0,361.0,228.0
2012-08-03,2012-09,1,151130,6,76,889509.2,1045998.0,361.0,228.0
2012-08-04,2012-09,1,266999,6,76,889919.0,1048658.0,367.0,239.0
2012-08-04,2012-09,1,142320,3,0,0.0,0.0,367.0,239.0
2012-08-04,2012-09,1,266999,1,17,895912.1,996407.0,367.0,239.0
2012-08-04,2012-09,1,67601,8,53,888295.6,1030104.0,367.0,239.0
2012-08-05,2012-09,1,265321,7,48,881314.1,1028903.0,333.0,239.0
2012-08-05,2012-09,1,266999,1,17,895912.1,996407.0,333.0,239.0
2012-08-06,2012-09,1,266999,1,16,893990.3,1001283.0,350.0,200.0
2012-08-06,2012-09,1,65701,7,52,889128.1,1032112.0,350.0,200.0
2012-08-06,2012-09,1,182130,6,69,895631.4,1034035.0,350.0,200.0
2012-08-07,2012-09,1,264100,8,54,889925.5,1029678.0,378.0,211.0
2012-08-07,2012-09,1,266999,4,33,904203.9,1013767.0,378.0,211.0
2012-08-07,2012-09,1,266999,1,16,894002.6,999741.6,378.0,211.0
2012-08-07,2012-09,1,67701,9,31,895991.1,1016574.0,378.0,211.0
2012-08-08,2012-09,1,51212,7,47,883869.8,1025411.0,378.0,206.0
2012-08-08,2012-09,1,266999,4,61,905322.4,1021616.0,378.0,206.0
2012-08-08,2012-09,1,115400,1,5,886746.4,1000976.0,378.0,206.0
2012-08-08,2012-09,1,264100,3,24,897515.4,1009676.0,378.0,206.0
2012-08-08,2012-09,1,91303,5,65,903956.9,1030553.0,378.0,206.0
2012-08-08,2012-09,1,264100,1,16,890575.4,1000103.0,378.0,206.0
2012-08-09,2012-09,1,266999,1,16,891696.1,997682.1,339.0,217.0
2012-08-09,2012-09,1,63701,9,38,0.0,0.0,339.0,217.0
2012-08-09,2012-09,-1,64701,9,38,0.0,0.0,339.0,217.0
2012-08-09,2012-09,1,51312,6,76,889637.1,1045039.0,339.0,217.0
2012-08-10,2012-09,1,264100,6,74,895673.1,1051174.0,267.0,194.0
2012-08-10,2012-09,1,266999,1,16,890990.4,1002817.0,267.0,194.0
2012-08-10,2012-09,1,266999,6,76,890212.4,1045085.0,267.0,194.0
2012-08-10,2012-09,1,265321,4,35,909287.8,1016389.0,267.0,194.0
2012-08-10,2012-09,1,266999,1,3,890079.7,996296.6,267.0,194.0
2012-08-10,2012-09,1,264100,3,22,900200.9,1007653.0,267.0,194.0
2012-08-10,2012-09,1,266999,4,33,904090.4,1014096.0,267.0,194.0
2012-08-11,2012-09,1,266999,1,16,892043.8,1003232.0,300.0,161.0
2012-08-11,2012-09,1,266999,8,58,893635.8,1026256.0,300.0,161.0
2012-08-11,2012-09,1,67701,4,35,907631.0,1018936.0,300.0,161.0
2012-08-11,2012-09,1,266999,7,51,885538.3,1029718.0,300.0,161.0
2012-08-11,2012-09,1,112010,1,1,889882.3,994870.1,300.0,161.0
2012-08-12,2012-09,-1,64701,1,5,0.0,0.0,294.0,183.0
2012-08-13,2012-09,1,92000,2,10,875323.6,1012398.0,272.0,189.0
2012-08-13,2012-09,1,263120,1,2,0.0,0.0,272.0,189.0
